title	id	price	clicks	unpaid clicks	sale price	condition	availability	Dynamic Remarketing - active	Dynamic Remarketing - disapproved or invalid	Enhanced free listings - active	Enhanced free listings - disapproved or invalid	Free listings - active	Free listings - disapproved or invalid	Shopping ads - active	Shopping ads - disapproved or invalid	channel	country	language	additional image link	age group	brand	color	custom label 0	custom label 1	description	gender	google product category	gtin	image link	item group id	link	mpn	product type	shipping(country:price)	size
Women's Red Hudson Stripe Set | Johnny Loves Rosie - Customised	shopify_GB_6781061759074_40056801394786	120.00 GBP	0	0		new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETTEMPLATE_14_cba244a4-fcb6-40e8-a310-68162d10a66e.png?v=1664200247,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETCODE_24.png?v=1664200255	adult	Johnny Loves Rosie	Red		Low Sales - Bottom 30% Last 7 Days	"What is included?     - 1 x Red Hudson Vegan Leather Crossbody Bag -  H14.5 x W20.5cm x D8.5cm - 1 x Red  Harper Bow Keyring -  H11.5cm x W15cm.  - 1 x  Blue Georgie Stripe  Bag Strap -  L120cm.  - 1 x Gift Bag -   H20cm x W25cm x D10cm.    You can count on the Red Hudson Stripe Set for an instant style upgrade every time. This bag set comes with our bestselling Red Vegan Leather Carrie Crossbody Bag, Blue Georgie Stripe Strap and a Red Eloise Bow for added luxury."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAG-SETS-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-07.jpg?v=1664200209	6781061759074	https://www.johnny-loves-rosie.com/products/red-hudson-stripe-set?variant=40056801394786&currency=GBP	40056801394786	Handbags,Wallets & Cases	GB:0.00 GBP	Customised
Women's Navy Harper Ribbon Keyring | Johnny Loves Rosie - Customised	shopify_GB_4487826473058_32073484599394	16.00 GBP	0	0		new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Harper-Ribbon-Keyring-Johnny-Loves-Rosie_e3dbdcbf-4e62-49f1-9558-2e9ecc920594.jpg?v=1634629670,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Harper-Ribbon-Keyring-12-Johnny-Loves-Rosie_ded9f2f9-aa42-45ff-be40-f5dd603b15e9.jpg?v=1634629670,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Harper-Ribbon-Keyring-2-Johnny-Loves-Rosie_1fe58b43-4f91-433e-b0a1-95249e91502e.jpg?v=1634629670,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/navy-keyring-ribbon-bow-johnny-loves-rosie-accessories_41bce1cc-4735-4b35-b127-cc756f7ce94e.jpg?v=1634629670	adult	Johnny Loves Rosie	Navy		Low Sales - Bottom 30% Last 7 Days	"Details:   - Smooth grosgrain ribbon - Personalised in the UK - Dimensions: 15 x 15cm      Lost your keys? Look no further. Smooth and classic; crafted using smooth grosgrain ribbon, our Navy Harper Ribbon Keyring will be the perfect addition to your keychain. Featuring a secure gold-plated clasp, you'll never need to search for your keys again. And for that extra personal touch – we can take your JLR keyring further and personalise it with your initials! Up to three initials are available to be embossed right here are Johnny Loves Rosie HQ."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"	5056496003891	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/navy-keyring-ribbon-bow-johnny-loves-rosie-accessories.jpg?v=1634629670	4487826473058	https://www.johnny-loves-rosie.com/products/navy-ribbon-keyring?variant=32073484599394&currency=GBP	32073484599394	Keychains	GB:5.95 GBP	Customised
Women's Pink Remy Chain Bag Set | Johnny Loves Rosie - Original	shopify_GB_6702758035554_39756757303394	119.00 GBP	1	0	81.00 GBP	new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETTEMPLATE_8.png?v=1650895993,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/PINK-REMY-VEGAN-LEATHER-BAG-JOHNNY-LOVES-ROSIE-2.jpg?v=1650895875,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETCODE_8.png?v=1650895999	adult	Johnny Loves Rosie	Pink		Low Sales - Bottom 30% Last 7 Days	What is included?      - 1 x Pink Remy Crossbody Bag -  H16.5 x W23.5cm x D9cm .  - 1 x Pink Olivia Bow Keyring -  H19cm X W5cm .  - 1 x Luxe Gold Metal Chain Strap - L62cm-L120cm.  - 1 x Gift Bag - H20cm x W25cm x D10cm.   Always wanted to create your own Remy   Bag  but not sure what to pick?     Crafted from sustainably sourced   vegan leather and detailed with  gold-plated hardware  for added luxury. Be sure to finish off your Remy by adding up to three initials onto the front of the bag. Using  gold-foiling  to emboss letters at our  JLR HQ  for a personal touch.	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/PINK-REMY-VEGAN-LEATHER-BAG-JOHNNY-LOVES-ROSIE-1.jpg?v=1650895875	6702758035554	https://www.johnny-loves-rosie.com/products/pink-remy-chain-bag-set-pre-order?variant=39756757303394&currency=GBP	39756757303394	Handbags	GB:0.00 GBP	Original
Women's Silver Archie Rectangle Keyring | Johnny Loves Rosie - Original	shopify_GB_4487825490018_31896850858082	18.00 GBP	0	0	12.60 GBP	new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Harper-Ribbon-Keyring-17-Johnny-Loves-Rosie_f3ba7e3a-aa68-46df-8fee-3c336827d802.jpg?v=1633609418,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/PERSONALISEDSilverStraightKeyringNew_fce1982f-17b3-4267-95b3-a02addc8ce00.jpg?v=1633609418,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Harper-Ribbon-Keyring-22-Johnny-Loves-Rosie_db258c90-58d3-47b7-95de-910fb3faed69.jpg?v=1633609418,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Archie-Straight-Keyring2_26860275-3bf6-4cce-8e1c-e63846829e57.jpg?v=1633609418,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/product_keyrings_rectangle_SILVER.png?v=1633609418	adult	Johnny Loves Rosie	Silver		Low Sales - Bottom 30% Last 7 Days	"Details:      Dimensions:  H9 x W3.5cm      Keep your keys together in style with Johnny Loves Rosie shimmering Silver Archie Rectangle Keyring. Crafted using vegan leather, our Silver Archie Rectangle Keyring will be a statement piece on your keychain. Whether you choose to add it onto your keys or JLR Bag, our Silver Archie Rectangle Keyring will be a unique and chic finish. If not that, it makes for a wonderful gift for a loved one. Finished with gold-plated hardware, the clasp closure will keep your keyring secure and sitting pretty. And why not complete your Silver Archie Rectangle Keyring with our personalisation service?"	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"	5056496003204	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/silver-keyring-straight-johnny-loves-rosie-accessories.jpg?v=1633609418	4487825490018	https://www.johnny-loves-rosie.com/products/silver-straight-keyring?variant=31896850858082&currency=GBP	SIL-ARK-O	Keychains	GB:5.95 GBP	Original
Women's Rose Gold Carson Vegan Leather Purse | Johnny Loves Rosie - Original	shopify_GB_6595858071650_39498711040098	24.00 GBP	43	1		new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/7.jpg?v=1633610162,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/800x800newwebsitepics.png?v=1633610162,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/8_649f314b-34da-4bee-9050-725162d86c90.png?v=1637923383	adult	Johnny Loves Rosie	Gold/Leather		Low Sales - Bottom 30% Last 7 Days	"Details:    - Award Winning Vegan Leather  - Hand Personalised in the UK  - Sustainably Sourced  - Dimensions:  H9cm X W11.5cm    Shimmer into the new season with our beautiful  Rose Gold Carson Purse . This vibrant shade is perfect for special occasions, as well as everyday wear!   This compact size is perfect for on the go and this shimmering  rose gold colour  is a must for party season!  Make your Carson Purse truly yours by using our monogramming service. We use a hot foiling process, using metallic gold foil for a lavish finish.   Hand stamped   here at Johnny Loves Rosie HQ for a bespoke touch."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"	5056496005451	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/4_9a79d879-0fa3-445e-8c5c-0f84d901863d.png?v=1633610162	6595858071650	https://www.johnny-loves-rosie.com/products/rose-gold-carson-vegan-leather-purse?variant=39498711040098&currency=GBP	RG-CR-PUR-O	Wallets & Money Clips	GB:5.95 GBP	Original
Women's Black Carrie Camo Bag Set | Johnny Loves Rosie - Customised	shopify_GB_4548864409698_32115593936994	90.00 GBP	24	0		new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/5_1f9e400f-58cf-455f-8254-59912724c09d.png?v=1664607214,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BlackCarrieNoBow.jpg?v=1664607214,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/LuxeDarkGreyCamoStrap-JLR_b027e06d-afe7-4d86-9a20-67cd85657427.jpg?v=1664607214,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/large-black-bow-oversized-keyring-bagcharmcopy_cb739d6c-63ec-4d7a-b590-9f1f17fe6537.jpg?v=1664607214,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/2_c536e69f-7211-4de0-82be-fd8e5ff1726e.png?v=1664607214	adult	Johnny Loves Rosie	Black	Revenue Top 20% 7 Days		"What is included?     - 1 x Black Carrie Crossbody Bag - H14.5cm x W20.5cm x D5cm.  - 1 x Black Eloise Bow Keyring - H15cm x W15cm.  - 1 x Luxe Dark Grey Camo Print Bag Strap - L62cm-L120cm.  - 1 x Gift Bag - H20cm x W25cm x D10cm.     Always wanted to create your own Carrie Bag but not sure what to pick?   Let us help you! We have pulled together all our bestselling accessories to compliment our  Black Carrie Crossbody Bag  so you don't have to. This is a Johnny Loves Rosie staple! Crafted with our  Best Selling Vegan Leather  and  luxury gold hardware , everyone needs a Black Carrie in their life."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAG-SETS-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-53.jpg?v=1664607214	4548864409698	https://www.johnny-loves-rosie.com/products/black-carrie-camo-bag-set?variant=32115593936994&currency=GBP	BLK-CB-CMO-BS-P	Handbags,Wallets & Cases	GB:0.00 GBP	Customised
Women's Gold Ever Envelope Crossbody Bag | Johnny Loves Rosie - Original	shopify_GB_6774336651362_40027605925986	60.00 GBP	0	0		new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-19_99256bd9-db09-42bd-b113-35bb1b8343d0.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/GOLD-EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-12-2.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-02.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/GOLD-EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-10-2.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-05.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-03.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-18_5e896629-608a-48a2-97ff-7009da8488c6.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-04.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-20_b153bc41-f7c5-4084-a8f6-714376a707b2.jpg?v=1664887426,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/EVER-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-21_fb1dd1cd-7e7a-497f-be08-b538922338c9.jpg?v=1664887426	adult	Johnny Loves Rosie	Gold		Low Sales - Bottom 30% Last 7 Days	"This item is on pre-order:   The release date is from the week of 17th of October.  Customised orders will be processed and despatched within 7-10 working days after this release date.   Details:   - Award Winning Vegan Leather - Hand Personalised in the UK - Inside Zip Compartment + Gold Chain Strap - Dimensions: H12cm W19cm D4cm Strap: 120cm   Nothing says party more than our new Ever Bag in gold. This unique design features our award-winning vegan leather, a detachable gold chain strap and an inner pocket for essential storage. Complete your party outfit with this must have bag this season."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/GOLD.png?v=1664887495	6774336651362	https://www.johnny-loves-rosie.com/products/gold-ever-envelope-crossbody-bag?variant=40027605925986&currency=GBP	GLD-EVER-O	Handbags	GB:0.00 GBP	Original
Women's Khaki Harper Ribbon Keyring | Johnny Loves Rosie - Original	shopify_GB_6618896760930_39488469532770	10.00 GBP	2	0	6.00 GBP	new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/white-keyring-ribbon-bow-johnny-loves-rosie-accessories_a74a8725-4c11-40fd-96da-5d8ce09c142d-2.jpg?v=1646399620,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/KHAKI-BLOCK-HUDSON-BAG-JLR-18_fce657bb-b47a-420d-b2a6-695be44ad021.jpg?v=1646399713,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/KHAKI-BLOCK-HUDSON-BAG-JLR-17_6805b238-b106-4063-9567-c534e9f26e0c.jpg?v=1646399706,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/KHAKI-BLOCK-HUDSON-BAG-JLR-14_d198a3d8-094f-4102-a9d5-5a3e1b713c0c.jpg?v=1646399701,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/KHAKI-BLOCK-HUDSON-BAG-JLR-16_f3aa98e5-59c8-4114-b9d0-38b33ac2dafe.jpg?v=1646399694,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/KHAKI-BLOCK-HUDSON-BAG-JLR-13_66352e04-45d2-4e25-9b54-175393df6572.jpg?v=1646399689	adult	Johnny Loves Rosie	Khaki			"Details:   - Smooth grosgrain ribbon - Personalised in the UK - Dimensions: 15 x 15cm   Lost your keys? Look no further. Smooth and classic; crafted using smooth grosgrain ribbon, our Khaki Harper Ribbon Keyring will be the perfect addition to your keychain. Featuring a secure gold-plated clasp, you'll never need to search for your keys again. And for that extra personal touch – we can take your JLR keyring further and personalise it with your initials! Up to three initials are available to be embossed right here are Johnny Loves Rosie HQ."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/white-keyring-ribbon-bow-johnny-loves-rosie-accessories_600x_3086efe8-7904-4fda-9b4d-4901736476d5.jpg?v=1646399620	6618896760930	https://www.johnny-loves-rosie.com/products/khaki-harper-ribbon-keyring?variant=39488469532770&currency=GBP	39488469532770	Keychains	GB:5.95 GBP	Original
Women's Dark Pink Hudson Chain Set | Johnny Loves Rosie - Original	shopify_GB_6702762000482_39756775391330	114.00 GBP	0	0	85.00 GBP	new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETTEMPLATE_15.png?v=1650898261,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/PINK-HUDSON-BAG-JOHNNY-LOVES-ROSIE-1_3ad5108e-569b-46c1-8cad-e50c544f2bb3.jpg?v=1650898154,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETCODE_14.png?v=1650898266	adult	Johnny Loves Rosie	Pink		Low Sales - Bottom 30% Last 7 Days	"What is included?     - 1 x Dark Pink Hudson Bag - H14.5 x W20.5cm x D8.5cm - 1 x Pink Harper Bow Keyring - H11.5cm x W15cm.  - 1 x Luxe Gold Metal Chain Strap - L120cm.  - 1 x Gift Bag - H20cm x W25cm x D10cm.   Check out our brand new Dark Pink Hudson Chain Set . This set includes our Luxe Gold Metal Chain Strap, Pink Harper Harper & our gorgeous JLR Gift Bag for the perfect finishing touch.  Make the Hudson truly yours by using our  personalisation service .  Choose up to  three initials  to be hand stamped at  JLR HQ  using luxury  gold foiling."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/PINK-HUDSON-BAG-JOHNNY-LOVES-ROSIE-2_095333c4-999f-47a8-928a-484258327f1b.jpg?v=1650898136	6702762000482	https://www.johnny-loves-rosie.com/products/dark-pink-hudson-chain-set-pre-order?variant=39756775391330&currency=GBP	39756775391330	Handbag	GB:0.00 GBP	Original
Women's Quilted Nude Sasha Vegan Leather Bag | Johnny Loves Rosie - Original	shopify_GB_6592634224738_39410573541474	80.00 GBP	0	0		new	in stock		GB	GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/800x800newwebsitepics_4_bb39f2f4-c5b3-46f7-8d59-8fb914d6ec18.png?v=1638181631,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/NUDESASHA-2.jpg?v=1638181631,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/NUDESASHA-3.jpg?v=1638181631,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/5_cd001ce0-5019-461e-b073-ee53f2b8460a.png?v=1638181729	adult	Johnny Loves Rosie	Leather/Nude		Low Sales - Bottom 30% Last 7 Days	"Details:          - Award Winning Vegan Leather - Hand Personalised in the UK - Sustainably Sourced -  Dimensions: H14.5 x W21cm x D8cm . - Strap Length: 120cm. - Includes: Matching Crossbody Strap     From our brand new collection, we present the  Luxe Nude Quilted Sasha . Taking a conscious perspective, we only use  sustainably sourced vegan leather , designed with  on-trend quilted texture  The Quilted Hudson is complimented with  two zipped compartments  and a  top handle , offering the perfect combination between practical and stylish!   Why not finish your  Quilted Sasha Crossbody Bag  with a bespoke touch using our  hand personalisation service ? We use gold foiling to hand stamp your initials onto the  JLR swing tag , right here at Johnny Loves Rosie HQ."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/NUDESASHA-1.jpg?v=1638181631	6592634224738	https://www.johnny-loves-rosie.com/products/quilted-nude-sasha-vegan-leather-bag?variant=39410573541474&currency=GBP	NUDE-SAS-O	bag	GB:0.00 GBP	Original
Women's Green Sam Card Holder Purse | Johnny Loves Rosie - Original	shopify_GB_4532475723874_32068496195682	18.00 GBP	33	0	12.60 GBP	new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/CardHolderSecondaryGreen.jpg?v=1633610137,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/SamCardHolderGreen_Blue_Yellow_292724a3-8164-44f8-b5c9-bc701c5ed6f7.jpg?v=1633610137,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/GreenSamCardHolderBack.jpg?v=1633610137,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/product_sam_GREEN.png?v=1633610137	adult	Johnny Loves Rosie	Green		Low Sales - Bottom 30% Last 7 Days	"Details:      - Award Winning Vegan Leather - Hand Personalised in the UK - Sustainably Sourced - Dimensions: H7 x W10 x D0.2cm   Crafted using sustainable vegan leather , this vibrant Green Sam Card Holder  Purse gives a stylish, luxe feel. It features multiple card slots and an inner pocket to ensure your important cards are collected.   Completed with pretty gold-plated details , the Green Sam Card Holder  Purse is also available to personalise with your very own initials using our personalisation service! It’s the perfect finishing touch."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"	5056496002627	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/GreenSamCardHolderFront.jpg?v=1633610137	4532475723874	https://www.johnny-loves-rosie.com/products/green-sam-card-holder?variant=32068496195682&currency=GBP	GRN-SCH-O	Wallets & Money Clips	GB:5.95 GBP	Original
Women's Black Sadie Stripe Set | Johnny Loves Rosie - Customised	shopify_GB_6781032759394_40056725176418	95.00 GBP	0	0		new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETTEMPLATE_3_fdaa089e-3e3c-48c2-8adc-a03371c809bc.png?v=1664197733,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETCODE_9_ebdd5651-6961-4050-89b1-227762815235.png?v=1664197732	adult	Johnny Loves Rosie	Black		Low Sales - Bottom 30% Last 7 Days	"What is included?     - 1 x Black Sadie Saddle Bag -  H19cm x W26cm x D7cm.  - 1 x  Black Eloise Bow Keyring -  H15cm x W15cm.  - 1 x  Luxe Leopard Print Bag Strap -  L62cm-L120cm.  - 1 x Gift Bag -  H20cm x W25cm x D10cm.      Say hello to our Black Sadie Stripe Set. This elevated and timeless bag set features our Black Sadie Saddle Bag made from our award-winning vegan leather, our Luxe Black & White Stripe Strap and Black Eloise bow. Make it your own by adding your initials using our bespoke personalisation service."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAG-SETS-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-23.jpg?v=1663938891	6781032759394	https://www.johnny-loves-rosie.com/products/black-sadie-stripe-set?variant=40056725176418&currency=GBP	40056725176418	Handbags,Wallets & Cases	GB:0.00 GBP	Customised
Women's Royal Blue Archie Rectangle Keyring | Johnny Loves Rosie - Original	shopify_GB_4487825326178_31896850301026	28.00 GBP	0	0	16.80 GBP	new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Harper-Ribbon-Keyring-22-Johnny-Loves-Rosie_09b931c8-3cd8-4508-a94b-9afc4148a48f.jpg?v=1633609283,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/PERSONALISEDNavyStraightKeyring_1f7bc369-95e0-4924-b184-ac5d62dfe11b.jpg?v=1633609283,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Archie-Straight-Keyring_ae42097b-916c-470b-8e5a-cf4486266e1b.jpg?v=1633609283,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/Harper-Ribbon-Keyring-15-Johnny-Loves-Rosie.jpg?v=1633609283,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/product_keyrings_rectangle_ROYALBLUE.png?v=1633609283	adult	Johnny Loves Rosie	Blue		Low Sales - Bottom 30% Last 7 Days	"Details:      Dimensions:  H9 x W3.5cm      Take a Johnny Loves Rosie touch with you on the go with our  Royal Blue Archie Rectangle Keyring to ensure you never lose your keys again. The sturdy, gold-plated clasp is stylish and practical, ensuring your keychain is secure and collected and compliments the lavish vegan leather design. Designed in a sophisticated straight shape, you’ll never want to take our  Royal Blue Archie Rectangle Keyring off. Why not top off your  Royal Blue  Archie Rectangle Keyring with your very own initials using our personalisation service for a bespoke and unique touch?"	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"	5056496003167	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/navy-keyring-straight-johnny-loves-rosie-accessories.jpg?v=1633609283	4487825326178	https://www.johnny-loves-rosie.com/products/royal-blue-straight-keyring?variant=31896850301026&currency=GBP	NAV-ARK-O	Keychains	GB:5.95 GBP	Original
Women's Tan Beatrice Stripe Set | Johnny Loves Rosie - Original	shopify_GB_6781060612194_40056791335010	89.00 GBP	0	0		new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETTEMPLATE_15_1de4b67d-8a9d-4364-9d62-907ef5a76f5a.png?v=1664200500,https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAGSETCODE_25.png?v=1664200494	adult	Johnny Loves Rosie	Tan		Low Sales - Bottom 30% Last 7 Days	"What is included?     - 1 x Tan Beatrice Crossbody Bag -   H17cm x W25cm x D6cm.   - 1 x  Luxe Tan Stripe  Bag Strap  -  L62cm-L120cm.  - 1 x Tan Eloise Bow Keyring -   H15cm x W15cm.  - 1 x Gift Bag -   H20cm x W25cm x D10cm.    Revamp your look with our Tan Beatrice Stripe Set. This set includes our Luxe Tan Stripe Strap, Tan Eloise Bow and a gorgeous JLR gift bag. This is guaranteed to be your new must have for any occasion."	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"		https://cdn.shopify.com/s/files/1/0251/0055/0196/products/BAG-SETS-VEGAN-LEATHER-PERSONALISED-BAG-JOHNNY-LOVES-ROSIE-08.jpg?v=1663940687	6781060612194	https://www.johnny-loves-rosie.com/products/tan-beatrice-stripe-set?variant=40056791335010&currency=GBP	40056791335010	Bags and Purses,Bags,Personalised Products,BESTSELLERS,Beatrice Crossbody Bag,BAGS SETS,Beatrice Bag Sets,FULL COLLECTION - MINUS SALE,IN STOCK	GB:0.00 GBP	Original
Women's Green Soft Vegan Leather Archie Keyring | Johnny Loves Rosie - Customised	shopify_GB_4532493516898_32068520378466	30.00 GBP	0	0	20.40 GBP	new	in stock	GB		GB		GB,GB		GB		Online	GB	en	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/product_keyrings_rectangle_SOFT_GREEN.png?v=1633609649	adult	Johnny Loves Rosie	Green/Leather		Low Sales - Bottom 30% Last 7 Days	"Details:     - Award Winning Vegan Leather   - Hand Personalised in the UK   - Sustainably Sourced   Dimensions: H9 x W3.5cm    Even your keys need accessories! So keep your keys safe and collected with the Green Archie Keyring – you’ll be sure to never lose them again with this little luxury attached. The Green Archie Keyring has been crafted using our brand-new soft vegan leather for an even more lavish, soft touch.  In this bold green shade, you’ll be sure to make an accessory statement with this keyring attached, whether that's on your keychain or your JLR Bag! Featuring a gold-plated clasp and further completed with gold-plated details , the Green Archie Keyring is a keychain must have. And why not finish off your Green Archie Keyring with your very own initials for a personal touch, monogrammed at JLR HQ. Add up to three initials using our personalisation service .  Click here for FAQs!"	female	"Clothing & Accessories > Handbags, Wallets & Cases > Handbags"	5056496003372	https://cdn.shopify.com/s/files/1/0251/0055/0196/products/ArchieSoftLeatherKeyringGreen.jpg?v=1633609649	4532493516898	https://www.johnny-loves-rosie.com/products/green-soft-vegan-leather-archie-rectangle-keyring?variant=32068520378466&currency=GBP	GRN-SL-ARK-P	Keychains	GB:5.95 GBP	Customised
